70세,threescore
제본소,bindery; bookbindery
제본술,bibliopegy
제본업자,bookbinder
제본한,bound
제분,grinding
제분공,millhand
제분기,"flour mill, a mill"
제분소,"a gristmill, a millhouse"
제분업자,miller
제비,a lot (추첨에 쓰는 것 ... in the lottery); A swallow
제비갈매기,a tern
제비꼬리,a swallowtail
제비꽃,a violet (Viola spp.)
제비물떼새,"a courser, a pratincole (a bird species)"
제비뽑기,sortilege
제비용,carrying charge
제빙,ice tray
제빙공장,ice plant
제빙기,ice machine
제빙장치,deicer
제빙하다,deice
제사,A holiday ceremony
제사공장,filature
제사장,high priest; pontiff
제산성의,antacid
제산제,antacid
제삼자,stranger
제삿날,Day of the ceremony
제서,Hagiographa
제설,snow removal
제설기,a snowplow
제성첨,Hallowmas
제스처,gesture
제습기,dehumidifier
제시,Presentation
제시간에,duly
제시되다,To be presented
제시하다,To present
제식,"a religious ceremony; rules (to be followed in military formation, of a ritual)"
제아무리,"no matter what one tries or does, no matter how much, no matter how we"
제안,"A proposal,suggestion; or, simply offering/giving/stating one`s opinio"
제안사,"a company proposing a solution, a contractor"
제안서,a business proposal describing how you can fulfill a contract
제안자,"a proposer, a proponent"
제안하다,"To propose,make a suggestion"
제안함,a suggestion box
제암성,"anticancer, antitumor (== 항암제(抗癌劑) chemotherapy)"
제암제,tepa
제압,"domination, control"
제약,"A condition,restriction; a pharmaceutical company"
제약사,a pharmacist
제약회사,a pharmaceutical company
제어,"control, discipline, taking the reins; holding back feelings and thoug"
제어력,command
제어반,control board
제어법,rein
제어봉,control rod
제어실,"control booth, control room"
제어장치,console; controller
제어집단,control group
제어하다,"govern, rein, rule"
제언,offer; address
제염소,"salina, saltern, saltworks"
제염업자,salter
제엽염,founder
제올라이트,zeolite
제와,umbo
제왕,Caesar
제왕다운,regal
제왕운시,rhyme royal
제왕의,"purple, regal, regal"
제왕절개,"a Caesarian, a C-section (removal of the fetus through an incision in "
제왕절개술,hysterology
제왕처럼,imperially
제외,"an exception, an exclusion"
제외되다,To be excluded
제외표,a count-out
제외하다,To exclude
제우다,"additionally, too much"
제우스,Zeus
제위,crown
제위의,imperial
제유,synecdoche
제유법,synecdoche
제의,"A proposal,an offer ; suggesting a plan; ceremonial"
제의하다,"Make a suggestion, to suggest a plan"
제인,zein
제일,"The first, the most important thing"
제일동포,fellow countrymen; fellow countrymen residing in Japan
제일밑,"the bottommost, the stuff on the very bottom"
제일사장,bowsprit
제일선,the firing line
제일위,premier
제일윗층,garret
제일의,"prima (Buddhism: the best, most moral), primus"
제일인자,crack; crackerjack
제일주의,putting sth first
제입대하다,veteranize
제자랑꾼,Gascon
제자랑하다,egotize
제자리,The proper/original place
제자리에,On your mark s
제자리음,natural
제자리표,natural sign; natural
제작,"manufacture,production"
제작가,artificer
제작물,a product
제작소,production
제작소.배양소.사육장등,ry
제작자,"the architect, the fabricator"
제작하다,"To produce,manufacture"
제재,"sanction, punishing, controlling; material for a literary/artistic work; cutting lumber for making wood"
제재소,"lumbermill, sawmill, timberworks"
제적,expulsion
제적생,an expelled student
제전,festivity
제정,"legislation; constitution, czarism, legal enactment, imperialism; church and state"
제정권,constitution
제정러시아,Imperialistic Russia
제정신,"lucidity, reason, saneness"
제정신이다,to have it all there
제정자,institutor
제정적인,constitutive
제조,"confection (making jam), making, manufacture"
제조법법,stereoscopy
제조소,factory
제조업,the manufacturing industry
제조업자,"maker, manufacturer"
제조자,"a fabricant, the maker"
제조하다,"make, manufacture, produce"
제주,unison of musical instruments; drink offering at the alter; the leader of a JAY-SAH ceremony
제주도,Tourist island off south S.Korea
제지,"paper making; deterrence, repression, restraint"
제지소,paper manufacturing
제지업자,paper maker
제지업체,a paper making business operation
제지용넝마,rag
제지자,restrainer
제지하는,"deterrent, inhibitory, repressive"
제지하다,"inhibit, restrain"
제창,unison; choral speaking; tutti
제창자,broacher
제책기,stapler
제철,season
제철소,ironwork
제철술,farriery
제철의,peak fresh
제쳐놓고,by
제쳐놓다,to put or lay aside; to put aside for the moment
제쳐두다,to put aside for the moment
제초기,eradicator
제초제,sterilant; herbicide; weedkiller
제촉하다,"to be pressed, hurried"
제출,"presentation, submission"
제출권,"initiative, the right of the govt or the legislature to present a bill"
제출자,the presenter
제출하다,"To submit, tender"
제충국,pyrethrum (natural insecticide made from the blossoms of various chrys
제충국분,insect poweder
제충분,insect poweder
제치다,"to croquet an opponent`s ball in another direction, take sth out of th"
제트기,jet plane
제트엔진,jet
제트웨이,jetway
제트족,jetsetter
제트팩,jetpack
제파,deva
제파기,"rejector, -jecter"
제판,engraving on plates
제판공,engraving on plates
제품,Manufactured goods
제품군,product lines
제품회수,callback
제피로스,Zephyrus
제하다,"exclude, leave out"
제하하는,limitary
제한,"limits,bounds"
제한되다,"to be narrow, reserved, restricted"
제혁소,tanner
제혁업,currier
제혁업소,currier
제호,a book title
제호번지,No.
제화공,Crispin
제후,prince
제휴,"affiliation, coalescence, coalition ; coooperation"
제휴하다,"to coalesce, come together, form an affiliation"
젠장,damnation; lawks
젠체하기,prigery
젠체하는,"conceited, jaunty, strutting"
젠체하는사람,bug
젠체함,chest thumping
젠트로닉스,gengronics
젤,"제일, the most"
젤라틴,gelatin
젤라틴모양의,gelatiniform
젤라틴이되다,gelatinate
젤라틴판,graph; hectograph
젤라틴화,gelatinization
젤라틴화하다,gelatinize; gelatinate
젤란드,Zeeland
젤로,"JellO; 제일, the most"
젤리그나이트,gelignite
젬병,a poor place with no money
졔수나무,cassia
조,"article,clause (e.g. of a constitution, an Act); A company,group"
조가,"dirge, elegy"
조가비,"a cockleshell, a conch, a seashell"
조가비모양의,conchoidal
조각,"the formation of a cabinet/a ministry of government; A piece,scrap,fragment; chip, piece, segment, shiver, shred"
조각가,"chiseler, sculptor, engraver"
조각구름,rack
조각기,electrograph
조각되다,to be engraven/carved
조각물,carving
조각배,shallop
조각사,"engraver, graver"
조각상,a sculpture
조각술,"carving, chiselling"
조각전,sculpfest
조각조각의,flaky
조각칼,"a chisel, an engraving tool"
조각품,a sculpture
조각하는사람,sinker
조각하다,"to carve, engrave, sculpt"
조각함,sculpsit
조간,morning paper
조간대,intertidal
조간요원,nightside
조갈증,polydipsia
조감적인,birdseye
조강,crude steel
조강지처,a wife who has suffered poverty alongside you
조개,"shellfish,clam"
조개냄비,scallop
조개무지,kitchen midden; shell heap
조개삿갓,barnacle
조개탄,briquet
조건문,condition
조건문의귀결절,apodosis
조건법,condition
조건부,conditionality
조건부의,"conditional, with strings attached, qualificatory"
조건절,ifclause
조격,instrumental
조격의,instrumental
조격적으로,instrumentally
조견도표,abac
조견표,ready reckoner
조경,landscaping
조경사,landscaper
조계,colony; concession
조계종,the Jogye order of Buddhism
조곡,suite
조과,matin
조광기,rheostat; dimmer
조광소,mineralizer
조교수,assistant professor
조교자,conditioner
조교하다,manage
조국,motherland; country; fatherland
조국의,compatriotic
조그마하다,"Be tiny,small"
조그만,small
조그맣다,"Be tiny,small"
조그매다,"see 조그맣다 ( to be tiny, small)"
조금,A little
조금도,any whatsoever
조금바꾸다,tinge
조금사,chaser
조금신,subacid
조금씩움직이다,nudge
조금열려,ajar
조금움직이다,budge
조금은,"little, partly"
조금의,neap
조금전에,erewhile
조급,impatience
조급성,the temperament or quality of being impatient
조급한,rash
조급함,hastiness
조기,"An early stage,period"
조깅,Jogging
조끼,"jerkin, a vest, a waistcoat; a jug or mug"
조난자,casualty
조달,"supply, procurement ; procurement at an early age (precocious); giving the principal (amount) which is necessary, providing money"
조달인,manciple
조달품,purvey
조달하다,fit; raise; to get the necessary funds/equip.
조당,raw
조도,illuminance; illumination
조도계,illuminometer
조동,blister copper
조동사,auxiliary; auxiliary verb
조락성,caducity
조락성의,caducous
조랑말,pony
조력,"sea power; assistance, hand's turn, helping, service"
조력자,coagent
조련사,"trfainer; a (lion,bear,animal) trainer"
조례,"the morning assembly; ordinances, bylaws"
조로,Zoro; tideway
조로아스터교,Zoroastrianism
조로아스터교도,Zoroastrian
조로아스터의,Zoroastrian
조롱,"derision, gibe, jeer, mockery, taunting sb"
조롱거리,"ridicule, taunt"
조롱나무,witch hazel
조롱박,cucurbit
조롱하다,"banter, deride, rail"
조롱하며,gibingly
조루술,ostomy
조류,"algae; tidal current, the tide ; drift or tendency; avifauna, birds"
조류사육,aviculture
조류애호가,birdfancier
조류전문가,birdman
조류학,"algology, phycology; ornithology"
조류학자,ornithology; algologist
조르기,tease; throttlehold
조르다,"To tease, urge sb"
조름나물,buckbean
조름보,collar beam
조리,"to take care of the body so that it can recover from an illness; logical, reasonable, consistent"
조리개,"a diaphragm, a camera lens"
조리기구,cookware
조리돌림대,crtty stool
조리되다,to be prepared
조리법,recipe
조리실,"cookery, cookhouse, kitchen"
조리없이,without any order to it
조리하다,"to be logical; dress, fix, prepare, handle appropriately"
조림학,forestry
조립,"assemblage, composition, makeup"
조립공,fitter
조립공장,"assembly hall, assembly plant"
조립기,"granulator, -later"
조립식인,knockdown
조립자,assembler
조립하다,"assemble, compose, fabricate"
조립한,builtup
조립현무암,dolerite
조마,horsebreaking
조마사,"horsebreaker, horsemaster"
조마조마하게하는,nervewracking
조마조마함,tingle
조망,"command, landscape, prospect, viewing"
조망대,widow`s walk
조면,trberosity
조면공,ginner
조면공장,ginnery
조면기,whipgin; cotton gin
조면암,trachyte
조명,"lighting,illumination"
조명계,illuminator
조명기,illuminator
조명충나방,corn borer
조명탄,a flare bomb; a ground marker; an illuminating projectile
조명하는,illuminating
조명하다,illuminate
조명활주로,flare path
조모,a grandmother
조모하다,to laugh
조목,article; item
조무래기,the little things/people
조물주,"the Architect, the Creator, God, the Maker"
조물주의,demiurgic
조미,flavoring; seasoning
조미료,"seasonings,condiments, extra seasoning"
조밀한,dense
조바심,impatience
조바심하는,fidgety; impatient
조바심하다,"have the jitters, be jittery, be on tenterhooks, tremble"
조바심하며,discomposedly; impatiently
조반,breakfast
조발,hairdressing
조발법,hairdressing
조발의,haircutting
조발치매,dementia praecox
조밥나물,hawkweed
조방공,rover
조방구니,jester
조방기,rover
조방사,rove; roving
조방의,extensive
조병,mania
조병의,manic
조병창,arsenal
조병학,weaponry
조보,canteen
조부,a grandfather
조부모,grandparents
조사관,inquisitor
조사단,an investigatory group
조사보고,investigation
조사원,"inquirer, researcher"
조사자,"investigator, inspector"
조사하다,"To examine,investigate"
조산,abortion; premature delivery; prematurity
조산사,"a midwife, a maternity nurse"
조산술,obstetrics; midwifery
조산아,preemie
조산운동,orogeny
조산원,a midwife; a maternity nurse
조산원등,paramedic
조산의,abortive
조산하다,abort; case
조산학,midwifery
조삼모사,"아침에 새 개, 저녁에 네 개 ... using trickery to fool"
조상,Ancestors; a statue out of stone or wood
조상가,statuary
조상술,statuary
조상전래,ancestral
조상하다,to mourn together
조상환원,reversionary
조색,balloon barrage; toning
조색기구,barrage balloon
조색액,toner
조색판,palette
조생종의,rareripe
조선,Name for ancient korea culture
조선공,shipwright
조선기사,constructor; naval architecture
조선대,"shipway, slipway (a platform used when shipmaking)"
조선소,shipyard
조선술,watercraft
조성,"composition; nourishment, encouragement; laying the foundation for/of"
조성금,subsidy
조성물,constituent
조성조,precocial
조성하다,"to aid, to help"
조세,"duty, tax"
조세범죄,tax evasion
조소,"carving, sculpture; a jeer, a sneering ridiculing smile"
조소거리,derision
조소하는,derisive
조소하다,"fleer, mock, ridicule"
조소하여,scoffingly
조속기,driving clock
조속륜,flywheel
조속한,speedy; speedily
조속히,as soon as possible
조손조,dockyard
조수,"adjuvant, assistant, helper; tide, tidewater"
조수석,passenger seat
조수의,tidal
조수표,tidemark
조숙,"precognity, prematurity"
조숙성,forwardness
조숙하다,precocious physical or emotional development
조신,courtier
조신들,court
조신하는,modest
조심,"care,caution, prudence"
조심성,"caution, prudence"
조심스러움,caution
조심스럽다,"Cautious, to be cautious"
조심조심,very carefully
조아리다,to bow to in respect
조악,"baseness, inferiority, meanness"
조악화,bastardization
조야,"inurbanity, provincialism, uncourtliness"
조야한,"provincial, rustic"
조야함,raunch
조약,"pact, treaty"
조약돌,"a pebble, a pebblestone"
조약항,treaty port
조어,protolanguage; parent language
조언,"advice, counsel, counseling, -selling"
조언자,adviser
조언하다,"advise, counsel"
조연자,supporter
조연하는,supporting
조연하다,support
조영,"a building, a constructed building"
조영관,aedile (a Roman temple or building)
조예,"knowledge, expertise"
조용하게,softly
조용하다,"To be quiet,still"
조용한,"calm, peaceful, quiet, tranquil"
조용함,quiet; quietude
조용해지다,settle; quiet
조용해진,hushed
조용히,Quietly
조우,"an encounter, a meeting"
조우하다,"to have an encounter, a meeting with"
조원,landscape gardening; landscape architecture
조원업자,gardener
조위의,condolatory; condolent
조위하는,marcescent
조위하다,condole
조율,tuning a musical instrument; 대추(dates) and 밤(chestnuts)
조율사,"a voicer, a tuner"
조율하다,to tune a musical instrument
조음기관,articulator
조응,2 things are in harmony
조이다,"to be anxious, worried, tense about sth; to tighten up, stiffen [a bolt, a slack rope]"
조인국,signatory
조작,"a fabrication, an inventtion, an imaginary construction; manipulation, working, rigging"
조작반,the control panel
조작상,"operation, operational"
조작원,an operator
조작적,"operation, operational"
조작주의,operationalism
조작하다,"to cook up a story, invent , trump; to operate, manipulate"
조잡,"coarseness, crassitude, crudity, grossness"
조잡하게,"coarsely, grossly, rudely"
조잡한,"coarse, coarse-grained, rough"
조잡해지다,to become coarsened
조장,"a charge hand, a boss, an overseer; facilitation, furthering, a furtherance of ... promotion, encouragemen"
조장석,albite
조장자,fomenter
조장하다,"encourage, foment, to further sth (a cause), instigate"
조재,"logging, handling timber"
조절,"regulation,adjustment"
조절기,"adjuster, governor, moderator, regulator"
조절된,conditioned; tempered
조절유전자,regulator(regulatory) gene
조절자,modulator
조절판,throttle valve
조절하기,conditioning
조절하는,regulatory
조정,"the royal/imperial court; regulation,control,coordination; interposition, intervention, mediacy, mediation, peacemaking, reconcil"
조정성,drivability
조정실,"control booth, control room"
조정약,corrective
조정역,bridgebuilder
조정자,"adjuster, daysman, fixer; conciliator, mediator, peacemaker, referee"
조정하다,"To regulate,adjust,coordinate; conciliate, coordinate, reconcile, rectify"
조제,"dosage, combining various medications together"
조제된,prepared
조제물,concoction
조제법,pharmacy
조제벤젠,benzol
조제사,dispenser
조제약,"concoction, pharmaceuticals"
조제의,"pharmaceutic, pharmaceutical"
조제자,compound
조제품,cheapie
조제하다,"preparation of medicine (compounding, dispensing); confect, confection; making, manufacturing"
조제학,pharmaceutics
조젯,Georgette
조종,"a death Knell, a knell, a passing bell; handling people/a person; steering (car, boat, plane)"
조종가능성,navigability
조종간,"a control stick, a joy stick"
조종륜,control column
조종사,"an aeronaut, a jockey, a pilot"
조종실,flight deck
조종자,driver
조종장치,control group; control
조종하다,"handle, manage, manipulate; fly, navigate, steer"
조주,obbligato
조준기,a firearm sight
조준대,rest
조준수,trfainer
조준의,alidade (surveying instrument consisting of the upper movable part of 
조준하다,"level, range, take aim with a gun"
조지아주,Georgia
조지타운,Gorgetown
조직,"Organization (composition, structure)"
조직구,histiocyte
조직구의,histiocytic
조직내의사내의,inhouse
조직돼있지않은,unorganized
조직된,"institutional, organized"
조직상의,textural
조직성,systemicity
조직없는,systemless
조직인,organization man
조직자,organizer
조직적으로,organically
조직적인,"architectonic, methodical, systematic"
조직주의,systematism
조직책,organizer
조직하다,"compose, organize"
조직학,histology
조직학의,histological
조직학자,histologist
조직화,"systematism, systematization"
조직화하다,"regularize, structurize"
조짐,"an auspice, a foretoken; foreshadowing, a sign"
조짐의,symptomatic
조짐이되다,bode
조짐이보이다,brew
조차,"difference in the tides; cannot even do that much, doing just that much is hard (this 조차 is tac"
조차장,"marshalling yard, railway-yard, switchyard"
조차장장,yardmaster
조차지,concession; lease
조처,proceeding
조철봉,"a guy's name, the main character of the story"
조초성의,hermatypic
조촐하다,"cleanly and pure; neat and proper, clean behavior; snug, snugly, snugn"
조총대,firing squad
조충,rip current
조치,"procedure, proceeding, steps"
조치법,method of dealing with problem
조치수,glyptodont
조치하다,to take measures to deal with a situation
조칙,rescript
조카,Nephew
조카딸,"a grandniece, a niece"
조커,joker
조타,steerage
조타수,quartermaster
조타술,helmsship
조파법,drilling
조판,"composition, typesetting"
조판공,engraver
조팝나무,bridal wreath
조폐,mintage
조폐국,mint1
조폐국장,mintmaster
조합,"association, brotherhood, communion, consortium, corporation, guild; concoction, confection"
조합계약,partnership
조합교회신자,member of a congregation
조합론,combinatoeics
조합본부,hall
조합원,"associator, comrade, confrere, copartner, partner"
조합제,"copartner, preparation"
조합주의,congregationalism
조합하다,"brew, make a concoction"
조항,"articles, the legal provisions or conditions, terms"
조해,"Sargasso Sea, the; deliquescence"
조현으로,aport
조혈,"sanguification, the making of blood"
조형미,aesthetics
조형학교,Bauhaus
조호,key signature
조화,"accordance, concordance, consonance, -nancy, harmonization, symmetry, ; artificial flowers"
조화되다,"in harmony,agreement ; concordant, harmonious, matching, symmetrical"
조화된동작,eurythmy
조화롭다,to be in harmony
조화수,harmonic quantities
조화시키다,"to reconcile, unite harmoniously; coordinate, harmonize, tune together"
조화적,harmonic
조화하다,"to be in accord, blend, chime, consort, jibe, sympathize"
조환,"flying rings for gymnastics, rings; recombination"
조회,"inquiry into, making a reference to to answer inquiries; morning assembly (at the company, stretching to music, some Asian thin"
조회시키다,relegate
조회장석,labradorite
조회하게하다,remit
조회하다,refer
조효소,coenzyme
족,"tribe; a foot of a pig (food); a bunch of similar things, grouped together"
족근골,tarsal
족근골의,tarsal
족두리꽃,sowbread
족말,amylum
족명,nomen
족벌주의,nepotism
족벌주의자,nepotist
족병의,podiatrist
족병학,podiatry
족보,"family tree, the family history/lineage"
족부,pes
족사,byssus
족속,"people of the same sort as you, clansman"
족쇄,"chains, irons, legirons"
족은,molten
족이다,liquate
족자,scroll
족장,"chief, head of a clan, patriarch"
족장의,patriarchal
족적,ichnolite; ichnology
족제비,weasel; stoat
족족,on every occasion
족집게,tweezers; hairtweezers
족편,cowheel
족하다,suffice
족한,enough
족함,surriciency
족히,"so big, so long, so many"
존경,"esteem, respect, reverence"
존경받는,"considered, hallowed, well thought of"
존경하다,Respect
존귀,"royalty, high and mighty"
존귀하다,"august, high and mighty"
존댓말,Respectful speech
존데,bougie; sonde
존립,existence
존속,"continuance, continuation; a person from whom you are descended, a group of descendents"
존속시키다,retain
존속하다,"to continue living, to survive"
존슨식의,Johnsonese
존신의,Johnsonian
존엄,dignity
존엄성,reverential
존엄하다,to be godlike
존재,Existence
존재론,ontology
존재론적인,ontological
존재물,ens
존재의,ontic
존재하다,To exist
존중,"estimation, regard, respect"
존중되는,valued
존중되다,weigh
존중하는,respectful
존중하다,"appreciate,esteem,value"
졸,pawn
졸개,"henchman, underling"
졸게하다,drowse
졸기,nod; doze
졸다,"doze,take a nap"
졸도,stroke; fainting
졸도하는,fainting
졸도하다,"faint, keel, fall senselessly, fall senseless"
졸도하여,aswoon
졸때기,underling; loogan
졸라대다,tout
졸라매다,lace up tight
졸라주의,Zolaism
졸라풍의,Zolaesque
졸렬,"inaptitude, poorness"
졸렬하게,impoliticly
졸렬한,ill; impolitic
졸리는,narcotic; dozy
졸리다,"Feel sleepy,drowsy"
졸린,"sleepy, soporific"
졸린듯이,drowsily
졸림,somnolence; drowsihead
졸면서보내다,nap
졸병,"private soldier, squaddie"
졸세,finishing the year
졸업,Graduation
졸업생,A graduate
졸업증서,sheepskin
졸업하다,To graduate
졸업한,graduate
졸음,"sleepiness,drowsiness"
졸음오게하는,drowsy
졸이다,to feel anxious
졸작,"a tripe, poor work"
졸저,the way an author refers belittling to his own work
졸졸거림,chatter
졸지,"suddenly, all of a sudden, unexpectedly"
졸책,impolicy
졸화하다,solate
좀늙은,oldish
좀늦은,latish
좀더,farther
좀도둑,"a cat burglar, prowler, sneak thief"
좀도둑질하다,filch
좀두꺼운,thickish
좀매미,cuckoo spit(spittle)
좀먹는,corrosive
좀먹다,corrode
좀먹은,motheaten
좀벌레,moth
좀쉰,gruffish
좀스럽다,"petty, trifling"
좀약,mothball
좀처럼,"seldom, hardly, not easily; can't get himself to do something/go somew"
좀체,"seldom, hardly, not easily"
좀큰,largish
좀팽이,half pint
좁게,narrowly
좁게하다,narrow
좁다,Narrow
좁쌀,millet
좁쌀풀,"euphrasy, loosestrife"
좁아지다,to become narrow
좁은길,a (narrow) pathway
좁은문,a strait
좁은선반,a ledge
좁은통로,an alley way
좁은틈,a hairbreadth crack
좁은후미,an armlet
좁히다,"Make narrow,restrict"
종,"A bell; A sort,kind,species"
종가,the closing price
종각,testa
종갱,well
종결,"close, conclusion, ending, termination, winding up of"
종결부,"coda, postlude"
종결숙주,definitive host
종결식,resultant
종계,"a breeding hen, a hen for breeding"
종골,calcaneus
종과,"compline, -plin"
종교,"religion,a faith"
종교가들,religious
종교개혁,reformation; Protestant Reformation
종교개혁의,reformational
종교광,theomania
종교의,spiritual; religious
종교재판,inquisition
종교재판관,inquisitor
종교재판소,Holy Office
종교적,Of religions
종교적열정,unction
종국,"conclusion, finale, finality"
종군,campaign
종군기자,war correspondent
종군자,campaigner
종군하다,campaign
종규,canon law; rule
종기,"abscess, boil, tumor"
종기수원지대,a gathering ground
종다리,a lark (bird species)
종단면,longisection
종달새,skylark
종대,column
종도,"compline, -plin"
종두,"inoculation, vaccination"
종래,up till now ; prior (art) (patents)
종래기술,prior art (patent application lingo)
종량,carling
종량세,specific duty
종량제,the tax or amount you pay is based on how much you use
종려,palm
종려당,palm sugar
종려의,palmy; palmaceous
종려잎,palm leaf
종렬,column
종로,Famous street in Seoul
종료,expiry
종료점,end point
종루,belfry; bell tower
종류,"kind,sort,species"
종류별,according to type
종마,"a stallion, a studhorse"
종말,"a consummation, the end"
종말관,the end of the world
종말기관,the terminating organ of a nerve
종말론,eschatology
종말론의,eschatological
종말부,postlude
종모양의,bellshaped
종목,an item in a list; an event
종묘원,nursery garden
종묘장장,nursery
종무,duty
종물,appurtenance
종벌레,vorticella
종범,foreandaft sail
종범선,foreandafter
종범의,accessorial; accessory
종범자,accessory
종별,classification; assortment
종복,"sb tending on a man, a servant"
종부,caruncle
종분화,speciation
종사,"prosecution, pursuit of a certain job, career"
종사시키다,"engage, occupy o.s. with sth (a job)"
종사자,sb engaged therein
종사하다,"follow a career, giving your heart to your job"
종성,lockin
종소리,The sound of a bell
종속,"dependence, subjection, subjugation, subordination"
종속관계,subordination
종속국,"a client country, a dependent state"
종속물,dependency
종속변수,a dependent variable
종속적,"dependent, subordinate"
종속적인,"ministerial, subordinative, subsidiary"
종속절,"a dependent clause, a subordinate clause (usually providing a reason o"
종속하여,under
종속화,satellization (making into a satellite); making into a vassal
종손,the oldest grandchild who is in charge of the family ancestral rites
종식,extinction
종신,"one`s entire life, lifelong, perpetual"
종신수,"a lifer, a prisoner with a life sentence"
종신연금,life annuity
종신직,a lifelong post/job
종신형,life sentence
종심,"the court of last resort, unappealable after that"
종심방어,defense
종아리,the calf muscle of the leg
종악,"carillon, chime, peal (a bell)"
종악수,chimer
종악장,the finale
종양,"neoplasm, a cancerous tumor"
종양내과,the oncology department
종양학,oncology
종언,the moment before dying
종업식,a graduation ceremony
종업원,waiter/waitress
종영,no more running the movie
종용,"to advise, give advice to"
종용하다,to offer a suggestion
종유동,cave
종유석,a stalactite
종이,Paper
종이끼우개,guard book
종이성냥,book matches
종이실,"twine, string used to make paper"
종이집게,clip
종이컵,A paper cup
종일품,the 2nd 품계 of the Chosun period
종자,"follower, lackey, retainer, vassal, yeoman; seeds for a plant strain; a breed"
종자골,sesamoid bone
종자매,a girl cousin (a first cousin?)
종자식물,"a Spermatophyte, a seed plant, an angiosperm"
종작없이,desultorily
종장시세,closing; closing price
종적,one's whereabouts; vertical
종적으로,secondarily
종전,the end of the war; before now
종점,"end point, endpoint, terminus"
종제,umbilicus
종조모,a grand-aunt
종조부,a grand uncle
종족,"a breed, nation, tribe"
종족간의,intertribal
종족퇴화,cacogenesis
종족학,speciology
종종,A variety of things
종종걸음,"a dogtrot, a foxtrot"
종종하다,"to occur irregularly, sometimes occuring thing"
종주국,the country of origin
종지,"closure, stop"
종지부,full stop
종지뼈,"kneecap, kneepan, patella"
종진,column
종차,differentia
종착역,"the terminal, the terminus"
종창,"tumor, tumorifacient; a wound from being shot by a bullet"
종창성의,"tumefacient, tumescent"
종청동,bell metal
종축,yaxis; breeder
종층,sporozoite
종탑,campanile
종파,a religious sect
종파간의,interdenominational
종파신의,denoninationaliam
종파심,denominaism
종파적인,sectarian
종파주의,a religious cult
종판,plate
종피,tunic; testa
종합,Synthesis
종합대학,university
종합시험,comprehensive
종합의사,generalist
종합작용,feedback
종합적,comprehensive
종합전장,integrated battlefield
종합종,cenospecies
종합하다,"synthesize,integrate"
종행,column
종행면,meson
종행의,mesial
종형,cousin
종형성,speciation
종형제,first cousin
종획지,enclosure
종횡,length and width
좇다,"to pursue honor, a target, happiness"
좋게하다,sweeten
좋다,To be good
좋아,“That's good”
좋아!,check; ziggetty
좋아보이는,inviting
좋아좋아,hubbsbubba
좋아하다,"To like, be fond of"
좋아함,"inclination, liking, predilection"
좋음,goodness
좋지않은,shady
좌,gutter; the left
좌경평행선,bend sinister
좌경한,pink
좌고우면,좌고 (turn to the left) + 우면 (glance to the right ) = being hesitant and
좌골,"the hipbone, the ischium"
좌골신경의,ischiatic
좌담,conversation
좌담가,"a conversationalist, a person who likes talking"
좌담식,conversational
좌담회,"conversazione, a sederunt"
좌불안석,좌불 (to not be sitting in place) + 안석 (to be sitting peacefully) = to b
좌석계원,boxkeeper
좌석수,a seating capacity
좌석줄,row
좌선성,levorotatory
좌시,sitting next to and just listening quietly
좌약,suppository; bougie
좌업,benchwork
좌우,(1) control over sth ; to determine sth by controlling it (2) the 2 si
좌우간,somehow
좌우되다,sth is controlled by [ decided on/settled by ]. ~에 따라 ~가 좌우되다
좌우됨,subjection
좌우명,명 (새기다) = worth carving next to you = a great reference material
좌우지간,anyways
좌우차,laterality
좌우하다,"influence, take control over, rule ; to sway/swing people your way"
좌의,left
좌익,"left field, the political left wing"
좌익수,left fielder
좌익주의,leftism
좌익주의자,"a gauchiste, a person on the left"
좌절,"frustration, a plan gets frustrated, a setback; lose one's spirit or determination"
좌절하다,collapse
좌중,everybody present
좌지우지,"to be in complete control of, to control according to your whim"
좌천,"degradation, demotion"
좌천시키다,"to downgrade, demote"
좌천하다,"to stellenbosch, demote"
좌철,washer
좌초,grounding
좌초되어,aground
좌초시키다,"to run aground, to strand"
좌초하다,ground
좌충우돌,"stab to the left, stab to the right. running this way and that way, ev"
좌측,the left side; nearside
좌측의,nearside; portside
좌파,"leftist, left wing"
좌판,the street-level display at a street vendor stand
좌표,"coordinates, x coordinate, y coordinate"
좌현,"larboard, port, portside (to the left of the boat)"
좔좔,"swash, to be gushing/flowing out of"
좨치다,urge
죄,"A crime, a sin"
죄값,atonement
죄과,demerit
죄는금속구,fastener
죄다,"cinch, constrict, pinch; all, everything, each and every one"
죄많은,"sinful, ungodly, unrighteous"
죄명,accusation
죄목,the offenses with which one is charged
죄송하다,"regret,be sorry for"
죄수,a prisoner
죄수단,felonry
죄수복,the prisoner outfit
죄수호송차,"a Black Maria, a paddy wagon, a patrol wagon, a prison van"
죄악,"crime, ill, iniquity"
죄없는,innocent
죄에빠뜨리다,incriminate
죄의선고,condemnation
죄의식,a conscience
죄인,A criminal
죄있는,"culpable, sinful"
죄체,corpus delicti
죔,take up; fastening
죔나사,check nut
죔쇠,"a clamp, a clasp, a buckle"
주1회,weekly
주가,the price of stocks
주가지수,a stock index
주각,"perigon, plinth, round angle"
주간,"a weekly publication; day, daylight, daytime, morning; taking care of it as it is your business"
주간예복,morning dress
주간지,a weekly magazine; a weekly newspaper
주강,cast steel
주개학,garbageology
주객간의,xenial
주객관계의,xenial
주거,"residing,dwelling"
